00:42:19.774 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:49:03.461 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - testng
00:49:03.461 [ApplicationImpl pooled thread 36] INFO  com.browserstack.utils.Helpers - null
00:49:03.463 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:50:33.417 [ApplicationImpl pooled thread 42] INFO  c.b.l.BrowserStackRunExtension - testng
00:50:33.417 [ApplicationImpl pooled thread 42] INFO  com.browserstack.utils.Helpers - null
00:50:33.419 [ApplicationImpl pooled thread 42] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:50:49.964 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - testng
00:50:49.964 [ApplicationImpl pooled thread 36] INFO  com.browserstack.utils.Helpers - null
00:50:49.965 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:51:11.583 [ApplicationImpl pooled thread 43] INFO  c.b.l.BrowserStackRunExtension - testng
00:51:11.583 [ApplicationImpl pooled thread 43] INFO  com.browserstack.utils.Helpers - null
00:51:11.585 [ApplicationImpl pooled thread 43] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:52:28.541 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - testng
00:52:28.541 [ApplicationImpl pooled thread 36] INFO  com.browserstack.utils.Helpers - null
00:52:28.543 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:54:13.550 [ApplicationImpl pooled thread 44] INFO  c.b.l.BrowserStackRunExtension - testng
00:54:13.550 [ApplicationImpl pooled thread 44] INFO  com.browserstack.utils.Helpers - null
00:54:13.552 [ApplicationImpl pooled thread 44] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:54:28.150 [ApplicationImpl pooled thread 46] INFO  c.b.l.BrowserStackRunExtension - testng
00:54:28.150 [ApplicationImpl pooled thread 46] INFO  com.browserstack.utils.Helpers - null
00:54:28.150 [ApplicationImpl pooled thread 46] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:33:02.252 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - testng
22:33:02.253 [ApplicationImpl pooled thread 86] INFO  com.browserstack.utils.Helpers - null
22:33:02.254 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:58:44.542 [ApplicationImpl pooled thread 104] INFO  c.b.l.BrowserStackRunExtension - testng
22:58:44.542 [ApplicationImpl pooled thread 104] INFO  com.browserstack.utils.Helpers - null
22:58:44.542 [ApplicationImpl pooled thread 104] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:16:03.012 [ApplicationImpl pooled thread 116] INFO  c.b.l.BrowserStackRunExtension - testng
23:16:03.012 [ApplicationImpl pooled thread 116] INFO  com.browserstack.utils.Helpers - null
23:16:03.013 [ApplicationImpl pooled thread 116] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:22:32.308 [ApplicationImpl pooled thread 121] INFO  c.b.l.BrowserStackRunExtension - testng
23:22:32.309 [ApplicationImpl pooled thread 121] INFO  com.browserstack.utils.Helpers - null
